全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
141305,141305000218 ,神奈川県川崎市,天飛公園,ﾃﾝﾋﾟｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区渡田４丁目１２,神奈川県,川崎市,川崎区渡田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000219 ,神奈川県川崎市,殿町１丁目公園,ﾄﾉﾏﾁ1ﾁｮｳﾒｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区殿町１丁目２０－４５,神奈川県,川崎市,川崎区殿町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000220 ,神奈川県川崎市,殿町第１公園,ﾄﾉﾏﾁﾀﾞｲ1ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区殿町２丁目４－７,神奈川県,川崎市,川崎区殿町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000221 ,神奈川県川崎市,殿町第２公園,ﾄﾉﾏﾁﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区殿町３丁目１４－１ほか,神奈川県,川崎市,川崎区殿町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000222 ,神奈川県川崎市,殿町第３公園,ﾄﾉﾏﾁﾀﾞｲ3ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区殿町３丁目１,神奈川県,川崎市,川崎区殿町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000223 ,神奈川県川崎市,中島公園,ﾅｶｼﾞﾏｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区中島２丁目１５－２,神奈川県,川崎市,川崎区中島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000224 ,神奈川県川崎市,中瀬２丁目公園,ﾅｶｾ2ﾁｮｳﾒｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区中瀬２丁目１４－１４,神奈川県,川崎市,川崎区中瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000225 ,神奈川県川崎市,中瀬公園,ﾅｶｾｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区中瀬３丁目５－２,神奈川県,川崎市,川崎区中瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000226 ,神奈川県川崎市,中瀬第２公園,ﾅｶｾﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区中瀬２丁目９－１１,神奈川県,川崎市,川崎区中瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000227 ,神奈川県川崎市,中瀬つつじ公園,ﾅｶｾﾂﾂｼﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区中瀬２丁目１３,神奈川県,川崎市,川崎区中瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000228 ,神奈川県川崎市,中留公園,ﾅｶﾄﾞﾒｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区池上新町１丁目４－１,神奈川県,川崎市,川崎区池上新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000229 ,神奈川県川崎市,"中浜公園
（旧　四谷公園）",ﾅｶﾊﾏｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区塩浜２丁目３－１,神奈川県,川崎市,川崎区塩浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000230 ,神奈川県川崎市,"西小田公園
（旧小田ふれあい公園）",ﾆｼｵﾀﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区小田１丁目１３,神奈川県,川崎市,川崎区小田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000231 ,神奈川県川崎市,日進町公園,ﾆｯｼﾝﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区日進町２－１４,神奈川県,川崎市,川崎区日進町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000232 ,神奈川県川崎市,日進町中央公園,ﾆｯｼﾝﾁｮｳﾁｭｳｵｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区日進町２３－２３,神奈川県,川崎市,川崎区日進町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000233 ,神奈川県川崎市,浜川崎公園,ﾊﾏｶﾜｻｷｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区浜町４丁目４－１,神奈川県,川崎市,川崎区浜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000234 ,神奈川県川崎市,浜町公園,ﾊﾏﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区浜町１丁目５－２,神奈川県,川崎市,川崎区浜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000235 ,神奈川県川崎市,浜町第２公園,ﾊﾏﾁｮｳﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区浜町２丁目１－４,神奈川県,川崎市,川崎区浜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000236 ,神奈川県川崎市,"浜町第３公園
（旧　鋼管通第２公園）",ﾊﾏﾁｮｳﾀﾞｲ3ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区浜町２丁目１６－１,神奈川県,川崎市,川崎区浜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000237 ,神奈川県川崎市,浜町なかよし公園,ﾊﾏﾁｮｳﾅｶﾖｼｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区浜町２丁目１３,神奈川県,川崎市,川崎区浜町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000238 ,神奈川県川崎市,東小田公園,ﾋｶﾞｼｵﾀﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区小田５丁目１３－１,神奈川県,川崎市,川崎区小田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000239 ,神奈川県川崎市,東田公園,ﾋｶﾞｼﾀﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区東田町３－２５,神奈川県,川崎市,川崎区東田町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000240 ,神奈川県川崎市,東町公園,ﾋｶﾞｼﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区本町１丁目１－６,神奈川県,川崎市,川崎区本町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000241 ,神奈川県川崎市,東門前公園,ﾋｶﾞｼﾓﾝｾﾞﾝｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区東門前１丁目７－１,神奈川県,川崎市,川崎区東門前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000242 ,神奈川県川崎市,東渡田第２公園,ﾋｶﾞｼﾜﾀﾘﾀﾞﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区鋼管通１丁目８－１,神奈川県,川崎市,川崎区鋼管通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000243 ,神奈川県川崎市,日ノ出公園,ﾋﾉﾃﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区日ノ出２丁目１１－１,神奈川県,川崎市,川崎区日ノ出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000244 ,神奈川県川崎市,藤崎けやき公園,ﾌｼﾞｻｷｹﾔｷｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎２丁目１１－３,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000245 ,神奈川県川崎市,藤崎第１公園,ﾌｼﾞｻｷﾀﾞｲ1ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎４丁目１７－１６,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000246 ,神奈川県川崎市,藤崎第２公園,ﾌｼﾞｻｷﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎２丁目１６－２,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000247 ,神奈川県川崎市,藤崎第３公園,ﾌｼﾞｻｷﾀﾞｲ3ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎２丁目６－１,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000248 ,神奈川県川崎市,藤崎第４公園,ﾌｼﾞｻｷﾀﾞｲ4ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎４丁目２－１,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000249 ,神奈川県川崎市,藤崎第５公園,ﾌｼﾞｻｷﾀﾞｲ5ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎３丁目３－８,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000250 ,神奈川県川崎市,藤崎第６公園,ﾌｼﾞｻｷﾀﾞｲ6ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎１丁目１３－３５,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000251 ,神奈川県川崎市,藤崎つつじ公園,ﾌｼﾞｻｷﾂﾂｼﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎３丁目１－４,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000252 ,神奈川県川崎市,藤崎ゆりの木公園,ﾌｼﾞｻｷﾕﾘﾉｷｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区藤崎３丁目２,神奈川県,川崎市,川崎区藤崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000253 ,神奈川県川崎市,富士見１丁目公園,ﾌｼﾞﾐ1ﾁｮｳﾒｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区富士見１丁目２－４,神奈川県,川崎市,川崎区富士見,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000254 ,神奈川県川崎市,本町公園,ﾎﾝﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区本町２丁目１２－１１,神奈川県,川崎市,川崎区本町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000255 ,神奈川県川崎市,本町つつじ公園,ﾎﾝﾁｮｳﾂﾂｼﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区本町２丁目２－６,神奈川県,川崎市,川崎区本町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000256 ,神奈川県川崎市,港町公園,ﾐﾅﾄﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区港町１２－６,神奈川県,川崎市,川崎区港町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000257 ,神奈川県川崎市,南小田公園,ﾐﾅﾐｵﾀﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区小田４丁目６－１,神奈川県,川崎市,川崎区小田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000258 ,神奈川県川崎市,南町公園,ﾐﾅﾐﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区南町６－１,神奈川県,川崎市,川崎区南町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000259 ,神奈川県川崎市,冥加公園,ﾐｮｳｶﾞｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区池上新町２丁目２３－１,神奈川県,川崎市,川崎区池上新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000260 ,神奈川県川崎市,向町公園,ﾑｶｲﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区渡田３丁目６－１,神奈川県,川崎市,川崎区渡田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000261 ,神奈川県川崎市,四谷上町けやき公園,ﾖﾂﾔｶﾐﾁｮｳｹﾔｷｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区四谷上町２２－６,神奈川県,川崎市,川崎区四谷上町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000262 ,神奈川県川崎市,四谷上町公園,ﾖﾂﾔｶﾐﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区四谷上町２３－８,神奈川県,川崎市,川崎区四谷上町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000263 ,神奈川県川崎市,四谷下町公園,ﾖﾂﾔｼﾓﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区四谷下町１９－１６,神奈川県,川崎市,川崎区四谷下町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000264 ,神奈川県川崎市,"四谷ゆめ公園
（旧　四谷下町第２公園）",ﾖﾂﾔﾕﾒｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区四谷下町１５－１,神奈川県,川崎市,川崎区四谷下町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000265 ,神奈川県川崎市,渡田山王町公園,ﾜﾀﾘﾀﾞｻﾝﾉｳﾁｮｳｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区渡田山王町１３－１,神奈川県,川崎市,川崎区渡田山王町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000266 ,神奈川県川崎市,渡田山王町第２公園,ﾜﾀﾘﾀﾞｻﾝﾉｳﾁｮｳﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区渡田山王町２５－１８,神奈川県,川崎市,川崎区渡田山王町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000267 ,神奈川県川崎市,渡田第１公園,ﾜﾀﾘﾀﾞﾀﾞｲ1ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区渡田東町５－１,神奈川県,川崎市,川崎区渡田東町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000268 ,神奈川県川崎市,渡田第２公園,ﾜﾀﾘﾀﾞﾀﾞｲ2ｺｳｴﾝ,,,1003,,,141313,,神奈川県川崎市川崎区貝塚２丁目１７－１,神奈川県,川崎市,川崎区貝塚,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000269 ,神奈川県川崎市,浅野町緑道,ｱｻﾉﾁｮｳﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区浅野町、南渡田町、池上町地内,神奈川県,川崎市,川崎区浅野町、南渡田町、池上町地内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000270 ,神奈川県川崎市,池上新町中緑道,ｲｹｶﾞﾐｼﾝﾁｮｳﾅｶﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区池上新町３丁目１－４２,神奈川県,川崎市,川崎区池上新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000271 ,神奈川県川崎市,池上新町南緑道,ｲｹｶﾞﾐｼﾝﾁｮｳﾐﾅﾐﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区池上新町３丁目４,神奈川県,川崎市,川崎区池上新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000272 ,神奈川県川崎市,池上新町緑道,ｲｹｶﾞﾐｼﾝﾁｮｳﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区池上新町３丁目５－４ほか,神奈川県,川崎市,川崎区池上新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000273 ,神奈川県川崎市,京町緑道,ｷｮｳﾏﾁﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区京町３丁目２１,神奈川県,川崎市,川崎区京町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000274 ,神奈川県川崎市,小島新田緑道,ｺｼﾞﾏｼﾝﾃﾞﾝﾘｮｸﾄﾞｳ,,,1003,,,141313,,神奈川県川崎市川崎区田町３丁目８,神奈川県,川崎市,川崎区田町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000275 ,神奈川県川崎市,浅野町緑地,ｱｻﾉﾁｮｳﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区浅野町１－３,神奈川県,川崎市,川崎区浅野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000276 ,神奈川県川崎市,旭町緑地,ｱｻﾋﾁｮｳﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区旭町２丁目、伊勢町地内,神奈川県,川崎市,川崎区旭町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000277 ,神奈川県川崎市,扇町緑地,ｵｳｷﾞﾏﾁﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区扇町６－９,神奈川県,川崎市,川崎区扇町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000278 ,神奈川県川崎市,小田操緑地,ｵﾀﾞﾐｻｵﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区渡田新町３丁目６－１５,神奈川県,川崎市,川崎区渡田新町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000279 ,神奈川県川崎市,小田緑地,ｵﾀﾞﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区小田１丁目５－１地先,神奈川県,川崎市,川崎区小田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000280 ,神奈川県川崎市,鋼管通５丁目ふれあい緑地,ｺｳｶﾝﾄﾞｵﾘ5ﾁｮｳﾒﾌﾚｱｲﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区鋼管通５丁目２,神奈川県,川崎市,川崎区鋼管通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000281 ,神奈川県川崎市,鋼管通５丁目緑地,ｺｳｶﾝﾄﾞｵﾘ5ﾁｮｳﾒﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区鋼管通５丁目１,神奈川県,川崎市,川崎区鋼管通,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000282 ,神奈川県川崎市,小島町緑地,ｺｼﾞﾏﾁｮｳﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区小島町４－１４,神奈川県,川崎市,川崎区小島町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000283 ,神奈川県川崎市,"桜川緑地
（桜本緑地）","ｻｸﾗｶﾞﾜﾘｮｸﾁ
（ｻｸﾗﾓﾄﾘｮｸﾁ）",,,1003,,,141313,,神奈川県川崎市川崎区桜本１丁目２,神奈川県,川崎市,川崎区桜本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000284 ,神奈川県川崎市,桜堀緑地,ｻｸﾗﾎﾞﾘﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区浅野町８－１,神奈川県,川崎市,川崎区浅野町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000285 ,神奈川県川崎市,塩浜小緑地,ｼｵﾊﾏｼｮｳﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区塩浜３丁目２９,神奈川県,川崎市,川崎区塩浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000286 ,神奈川県川崎市,塩浜緑地,ｼｵﾊﾏﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区塩浜４丁目１４,神奈川県,川崎市,川崎区塩浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000287 ,神奈川県川崎市,新町緑地,ｼﾝﾁｮｳﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区小田栄１丁目、渡田４丁目、渡田新町３丁目,神奈川県,川崎市,川崎区小田栄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000288 ,神奈川県川崎市,中瀬緑地,ﾅｶｾﾘｮｸﾁ,,,1003,,,141313,,神奈川県川崎市川崎区中瀬２丁目８－１地先,神奈川県,川崎市,川崎区中瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000289 ,神奈川県川崎市,多摩川緑地小向町地区,ﾀﾏｶﾞﾜﾘｮｸﾁｺﾑｶｲﾁｮｳﾁｸ,,,1003,,,141321,,神奈川県川崎市幸区小向地内,神奈川県,川崎市,幸区小向地内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000290 ,神奈川県川崎市,多摩川緑地小向仲野町地区,ﾀﾏｶﾞﾜﾘｮｸﾁｺﾑｶｲﾅｶﾉﾁｮｳﾁｸ,,,1003,,,141321,,神奈川県川崎市幸区小向地内,神奈川県,川崎市,幸区小向地内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000291 ,神奈川県川崎市,多摩川緑地多摩川大橋地区,ﾀﾏｶﾞﾜﾘｮｸﾁﾀﾏｶﾞﾜｵｵﾊｼﾁｸ,,,1003,,,141321,,神奈川県川崎市幸区古市場地内,神奈川県,川崎市,幸区古市場地内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000292 ,神奈川県川崎市,多摩川緑地古市場地区,ﾀﾏｶﾞﾜﾘｮｸﾁﾌﾙｲﾁﾊﾞﾁｸ,,,1003,,,141321,,神奈川県川崎市幸区古市場地内,神奈川県,川崎市,幸区古市場地内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000293 ,神奈川県川崎市,御幸公園,ﾐﾕｷｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区東古市場１,神奈川県,川崎市,幸区東古市場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000294 ,神奈川県川崎市,"夢見ヶ崎公園
（幸区市民健康の森）","ﾕﾒﾐｶﾞｻｷｺｳｴﾝ
（ｻｲﾜｲｸｼﾐﾝｹﾝｺｳﾉﾓﾘ）",,,1003,,,141321,,神奈川県川崎市幸区南加瀬１丁目２－１,神奈川県,川崎市,幸区南加瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000295 ,神奈川県川崎市,さいわいふるさと公園,ｻｲﾜｲﾌﾙｻﾄｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区新川崎７,神奈川県,川崎市,幸区新川崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000296 ,神奈川県川崎市,南河原公園,ﾐﾅﾐｶﾞﾜﾗｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区都町７４－２,神奈川県,川崎市,幸区都町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000297 ,神奈川県川崎市,遠藤町公園,ｴﾝﾄﾞｳﾁｮｳｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区遠藤町４４－３,神奈川県,川崎市,幸区遠藤町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000298 ,神奈川県川崎市,小倉アベリア公園,ｵｸﾞﾗｱﾍﾞﾘｱｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉４－２８－３,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000299 ,神奈川県川崎市,小倉かつら公園,ｵｸﾞﾗｶﾂﾗｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉４丁目２１－６,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000300 ,神奈川県川崎市,小倉北公園,ｵｸﾞﾗｷﾀｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉２丁目１１－２１,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000301 ,神奈川県川崎市,小倉こども公園,ｵｸﾞﾗｺﾄﾞﾓｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉４丁目５－１１,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000302 ,神奈川県川崎市,小倉下町公園,ｵｸﾞﾗｼﾓﾁｮｳｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉４丁目１２－２２,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141305,141305000303 ,神奈川県川崎市,小倉中公園,ｵｸﾞﾗﾅｶｺｳｴﾝ,,,1003,,,141321,,神奈川県川崎市幸区小倉４丁目８－４,神奈川県,川崎市,幸区小倉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
